Species,Mass (kg)
Asiatic wild dog,16.85
Assamaese macaque,9.4
Barking deer,22.9
Brush tailed porcupine,2.5
Hill partridge ,0.319
Himalayan black bear,103.6
Himalayan palm civet,4.27
Leopard cat,4
Red serow,135
Stumped tailed macaque,9
Yellow throated marten,2.9
