species,individuals,ID,date,notes
birds,80,114,18/01/2022,
birds,20,115,19/01/2022,
birds,8,14,01/01/2022,
birds,19,34,01/01/2022,
brush_tailed_porcupine,1,22,08/01/2022,
birds,25,18,06/01/2022,
birds,10,25,15/01/2022,
birds,20,28,16/01/2022,
birds,5,17,13/01/2022,
birds,5,116,12/01/2022,
birds,10,27,13/01/2022,
birds,12,117,15/01/2022,
birds,5,103,14/01/2022,
birds,6,88,13/01/2022,
brush_tailed_porcupine,1,118,08/01/2022,
birds,36,42,11/01/2022,
birds,36,45,13/01/2022,
birds,11,41,09/01/2022,
birds,10,119,08/01/2022,
birds,10,120,12/01/2022,
birds,7,121,11/01/2022,
birds,50,104,12/01/2022,
birds,4,122,13/01/2022,
birds,40,101,09/01/2022,
birds,1,34,14/01/2022,
birds,2,76,15/01/2022,
birds,5,108,06/01/2022,
birds,40,39,13/01/2022,
kalij_pheasant,1,39,14/01/2022,
kalij_pheasant,1,98,10/01/2022,
birds,5,98,14/01/2022,
birds,4,36,13/01/2022,
birds,5,123,14/01/2022,
birds,10,106,15/01/2022,
assamese_macaque,1,7,10/01/2022,
birds,8,7,10/01/2022,
birds,8,124,12/01/2022,
birds,38,1,14/01/2022,
birds,30,44,12/01/2022,
birds,35,33,11/01/2022,
assamese_macaque,1,11,10/01/2022,
birds,20,11,10/01/2022,
birds,5,5,14/01/2022,
birds,17,14,14/01/2022,
birds,10,53,10/01/2022,
birds,2,97,14/01/2022,
birds,5,125,11/01/2022,
kalij_pheasant,3,125,12/01/2022,
birds,26,3,15/01/2022,
birds,25,48,11/01/2022,
birds,36,2,12/01/2022,
birds,14,109,15/01/2022,
birds,15,19,13/01/2022,
birds,21,90,12/01/2022,
birds,3,126,13/01/2022,
barking_deer,1,68,05/01/2022,
birds,10,6,12/01/2022,
kalij_pheasant,1,127,14/01/2022,
birds,35,112,11/01/2022,
birds,5,102,12/01/2022,
barking_deer,1,31,05/02/2022,
birds,51,62,15/02/2022,
birds,25,64,14/02/2022,
birds,15,71,14/02/2022,
birds,28,8,01/02/2022,
birds,50,15,15/02/2022,
birds,17,13,19/02/2022,
birds,10,128,18/02/2022,
birds,2,84,15/02/2022,
birds,248,10,01/02/2022,over four days
birds,6,115,19/02/2022,
birds,16,129,12/02/2022,
birds,30,130,16/02/2022,
birds,60,59,18/02/2022,
birds,20,76,17/02/2022,
birds,3,54,18/02/2022,
birds,15,131,11/02/2022,
birds,2,132,11/02/2022,
flying_squirrel,1,132,09/02/2022,
birds,2,78,19/02/2022,
birds,37,82,11/02/2022,
birds,1,69,15/02/2022,
birds,20,70,14/02/2022,
birds,14,71,19/02/2022,
birds,13,55,19/02/2022,
birds,10,73,15/02/2022,
birds,19,85,15/02/2022,
birds,60,133,07/02/2022,
birds,20,10,25/02/2022,
birds,20,115,25/02/2022,
birds,40,59,24/02/2022,
birds,15,134,28/02/2022,
birds,100,54,27/02/2022,
squirrel,1,54,28/02/2022,
birds,6,135,28/02/2022,
birds,10,55,28/02/2022,
birds,26,91,14/02/2022,
birds,21,91,15/02/2022,
birds,18,136,16/02/2022,
birds,20,73,16/02/2022,
birds,400,113,08/02/2022,"Thana (after Sheanuuthsi vong), 7 people for CYE"
birds,1,3,09/02/2022,
birds,4,50,10/02/2022,
flying_squirrel,1,95,09/02/2022,
birds,25,1,10/02/2022,
brush_tailed_porcupine,1,41,14/02/2022,lokhimvong (at his machang)
barking_deer,1,26,15/02/2022,137 pillar
serow,1,26,11/02/2022,137 pillar
assamese_macaque,1,26,11/02/2022,137 pillar
birds,20,137,26/02/2022,
birds,50,102,25/02/2022,
birds,15,112,26/02/2022,
giant_squirrel,1,20,26/02/2022,
kalij_pheasant,1,138,26/02/2022,
birds,15,45,01/02/2022,
squirrel,1,139,27/02/2022,
barking_deer,1,68,21/02/2022,
birds,126,140,04/02/2022,
birds,25,141,26/02/2022,
flying_squirrel,1,3,27/02/2022,
birds,20,26,01/02/2022,
birds,22,53,27/02/2022,
birds,20,16,01/02/2022,
birds,10,5,01/02/2022,
birds,6,103,08/02/2022,
kalij_pheasant,1,88,16/02/2022,
birds,5,118,15/02/2022,
kalij_pheasant,1,142,14/02/2022,
birds,40,41,17/02/2022,over two days
birds,16,69,19/02/2022,
birds,50,104,17/02/2022,over three days
birds,80,101,14/02/2022,over two days
birds,20,138,18/02/2022,
birds,10,143,17/02/2022,
birds,15,50,19/02/2022,
flying_squirrel,1,7,18/02/2022,
leopard_cat,1,53,19/02/2022,
assamese_macaque,2,20,02/03/2022,forest yappo
barking_deer,1,125,02/03/2022,forest
birds,30,144,02/03/2022,
kalij_pheasant,1,3,02/03/2022,
birds,10,126,02/03/2022,
birds,20,109,02/03/2022,
birds,5,145,02/03/2022,
birds,20,146,02/03/2022,
birds,7,17,02/03/2022,
birds,10,94,02/03/2022,
birds,10,25,02/03/2022,
brush_tailed_porcupine,1,11,03/03/2022,lokivmong (firewood collection place)
birds,10,88,03/03/2022,
giant_squirrel,1,120,03/03/2022,
leopard_cat,1,147,03/03/2022,137 pillar
birds,10,148,03/03/2022,
birds,30,49,03/03/2022,
serow,1,149,04/03/2022,lokivmong
birds,15,118,04/03/2022,
birds,39,26,04/03/2022,
squirrel,1,26,04/03/2022,
birds,20,143,04/03/2022,
birds,10,7,04/03/2022,
birds,10,56,04/03/2022,
birds,5,19,04/03/2022,
kalij_pheasant,1,68,04/03/2022,
squirrel,1,6,04/03/2022,
birds,5,150,04/03/2022,
leopard_cat,1,100,04/03/2022,lamlotoh (at his field)
squirrel,5,27,04/03/2022,
birds,15,50,05/03/2022,
birds,20,48,05/03/2022,
birds,30,9,05/03/2022,
birds,3,151,18/03/2022,
civet,3,88,24/03/2022,
birds,3,88,24/03/2022,
birds,3,119,23/03/2022,
birds,2,101,24/03/2022,
squirrel,1,101,24/03/2022,
birds,5,100,26/03/2022,
barking_deer,1,3,28/03/2022,"Rahmongtoh/ Sangtsoki tsak foh, went with church guests"
civet,2,11,27/03/2022,
birds,10,109,27/03/2022,
birds,30,9,24/03/2022,over two days
flying_squirrel,2,147,25/03/2022,
kalij_pheasant,1,147,27/03/2022,
birds,30,19,27/03/2022,over two days
civet,1,68,28/03/2022,Lamlofah (at his field)
birds,5,20,28/03/2022,
birds,5,16,27/03/2022,
birds,10,18,28/03/2022,
birds,15,25,27/03/2022,
squirrel,1,25,28/03/2022,
birds,36,136,26/03/2022,over two days
birds,10,112,23/03/2022,
squirrel,2,112,24/03/2022,
birds,20,94,20/03/2022,over three days
birds,10,146,28/03/2022,
birds,20,137,25/03/2022,
assamese_macaque,1,58,06/04/2022,Wuhritoh
barking_deer,1,55,07/04/2022,Kamkoshangshong
kalij_pheasant,1,54,08/04/2022,
squirrel,5,57,09/04/2022,
squirrel,3,41,07/04/2022,
birds,2,77,09/04/2022,
birds,8,59,09/04/2022,
fish,60,115,11/04/2022,lekimro
birds,3,115,06/04/2022,
bamboo_partridge,1,58,29/04/2022,
birds,7,13,25/04/2022,
fish,40,115,29/04/2022,
fish,35,59,24/04/2022,
birds,6,59,22/04/2022,
birds,2,60,29/04/2022,
birds,5,60,28/04/2022,
barking_deer,1,152,12/04/2022,kamko shangshong
birds,5,153,28/04/2022,
barking_deer,1,54,04/04/2022,
birds,2,54,18/04/2022,
birds,4,135,18/04/2022,
birds,1,69,26/04/2022,
birds,10,154,07/04/2022,
birds,10,19,08/04/2022,
birds,10,98,06/04/2022,
birds,10,39,05/04/2022,
birds,15,25,08/04/2022,
birds,10,112,07/04/2022,
birds,10,146,07/04/2022,
birds,15,155,08/04/2022,
birds,36,11,03/04/2022,
barking_deer,1,118,05/04/2022,"went with church folks, Ningkikinyoh "
frogs,44,50,05/04/2022,Likimro
birds,15,1,04/04/2022,
brush_tailed_porcupine,1,97,07/04/2022,longpotrup
birds,20,3,06/04/2022,
birds,15,11,06/04/2022,
birds,10,109,12/04/2022,
birds,10,88,21/04/2022,
birds,15,118,25/04/2022,
wild_boar,1,41,28/04/2022,
birds,15,5,21/04/2022,over three days
birds,20,101,27/04/2022,over two days
birds,15,1,27/04/2022,
kalij_pheasant,1,98,26/04/2022,
birds,10,53,21/04/2022,
birds,20,39,24/04/2022,
birds,10,46,25/04/2022,
birds,10,5,26/04/2022,
kalij_pheasant,1,22,27/04/2022,
squirrel,2,112,26/04/2022,
birds,15,25,27/04/2022,
birds,10,43,26/04/2022,
